id,fault_name,category,observability_from_vibration,confidence,bearing_components,aliases,tags,n_symptoms,n_causes,n_signatures,n_confirm_tests,n_fixes,n_references,source_file
BRG-004,Cage defect,localized_bearing_defect,medium,medium,cage,FTF fault|train defect|separator defect,cage|ftf_fault|localized_bearing_defect|medium|train_defect,3,4,3,4,3,2,cage_defect.md
BRG-019,Corrosion / moisture damage,damage_mechanism,low_medium,medium_high,raceways|rolling_elements,moisture-induced pitting|rust damage,damage_mechanism|low_medium|moisture-induced_pitting|raceways|rolling_elements|rust_damage,3,3,2,3,3,1,corrosion_moisture_damage.md
BRG-012,Creep / loose fit at bearing seat,installation_fit_issue,medium,high,fits|inner_race|outer_race,ring creep|fit slip|insufficient interference,fit_slip|fits|inner_race|installation_fit_issue|medium|outer_race|ring_creep,3,3,2,3,3,2,creep_loose_fit.md
BRG-013,Electrical erosion / fluting,root_cause,medium,high,raceways|rolling_elements,electrical discharge damage|fluting|current through bearing,electrical_discharge_damage|fluting|medium|raceways|rolling_elements|root_cause,2,2,2,3,3,2,electrical_erosion_fluting.md
BRG-015,Excessive preload,installation_operating_issue,medium,high,all,too much preload|preload overheating|preload damage,all|installation_operating_issue|medium|preload_overheating|too_much_preload,3,3,2,3,3,2,excessive_preload.md
BRG-011,False brinelling,damage_mechanism,low,high,raceways|rolling_elements,transport vibration damage|stationary vibration wear,damage_mechanism|low|raceways|rolling_elements|stationary_vibration_wear|transport_vibration_damage,2,3,2,3,4,2,false_brinelling.md
BRG-010,Fretting,damage_mechanism,low_medium,high,fits|raceways|rolling_elements,fretting corrosion|small-amplitude sliding wear,damage_mechanism|fits|fretting_corrosion|low_medium|raceways|rolling_elements|small-amplitude_sliding_wear,3,3,2,3,4,1,fretting.md
BRG-020,Improper installation or handling damage,root_cause,medium,high,all,mounting damage|installation damage|handling-induced bearing damage,all|installation_damage|medium|mounting_damage|root_cause,3,4,2,3,3,3,improper_installation_or_handling.md
BRG-002,Inner race defect,localized_bearing_defect,high,high,inner_race,BPFI fault|inner race spall|inner ring defect,bpfi_fault|high|inner_race|inner_race_spall|localized_bearing_defect,3,3,3,4,3,4,inner_race_defect.md
BRG-008,Contaminated lubrication / debris ingress,root_cause,medium,high,all,dirty grease|dirty oil|particle contamination,all|dirty_grease|dirty_oil|medium|root_cause,3,4,3,3,3,3,lubrication_contamination.md
BRG-007,Lubrication starvation / ineffective lubrication,root_cause,medium,medium_high,all,poor lubrication|lubrication failure|insufficient film,all|lubrication_failure|medium|poor_lubrication|root_cause,3,4,3,3,3,3,lubrication_starvation.md
BRG-018,Mechanical looseness near bearing,adjacent_machine_fault,high,high,system_level|bearing_seat,bearing-seat looseness|mounting looseness|clearance-driven looseness,adjacent_machine_fault|bearing-seat_looseness|bearing_seat|high|mounting_looseness|system_level,3,4,2,3,3,1,mechanical_looseness_near_bearing.md
BRG-016,Misalignment-induced bearing loading,adjacent_machine_fault,high,high,system_level,shaft misalignment|coupling misalignment affecting bearing,adjacent_machine_fault|coupling_misalignment_affecting_bearing|high|shaft_misalignment|system_level,3,4,3,3,3,1,misalignment_induced_bearing_loading.md
BRG-001,Outer race defect,localized_bearing_defect,high,high,outer_race,BPFO fault|outer race spall|outer ring defect,bpfo_fault|high|localized_bearing_defect|outer_race|outer_race_spall,4,4,3,4,3,4,outer_race_defect.md
BRG-014,Overheating / seizure,damage_mechanism,medium,high,all,bearing seizure|thermal damage|melting damage,all|bearing_seizure|damage_mechanism|medium|thermal_damage,3,6,3,3,2,1,overheating_seizure.md
BRG-009,Pitting,damage_mechanism,medium,high,raceways|rolling_elements,micro-pitting|pitted raceway|pitted rolling element,damage_mechanism|medium|micro-pitting|pitted_raceway|raceways|rolling_elements,3,3,2,3,4,1,pitting.md
BRG-003,Rolling element defect,localized_bearing_defect,high,medium_high,rolling_elements,ball defect|BSF fault|rolling element spall,ball_defect|bsf_fault|high|localized_bearing_defect|rolling_elements,3,3,3,4,3,3,rolling_element_defect.md
BRG-005,Subsurface fatigue / spalling progression,damage_mechanism,medium_high,high,inner_race|outer_race|rolling_elements,fatigue spalling|flaking|rolling contact fatigue,damage_mechanism|fatigue_spalling|flaking|inner_race|medium_high|outer_race|rolling_elements,3,4,3,4,3,4,subsurface_fatigue_spalling.md
BRG-006,Surface distress,damage_mechanism,medium_high,high,raceways|rolling_elements,surface-initiated damage|surface cracking from distress,damage_mechanism|medium_high|raceways|rolling_elements|surface-initiated_damage|surface_cracking_from_distress,3,2,2,3,2,2,surface_distress.md
BRG-017,Unbalance-induced bearing loading,adjacent_machine_fault,high,high,system_level,rotor unbalance affecting bearing|1x unbalance,1x_unbalance|adjacent_machine_fault|high|rotor_unbalance_affecting_bearing|system_level,3,3,2,3,3,1,unbalance_induced_bearing_loading.md
